epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2619,1.96422,3.08597,2.24818,0.00333,1,0.77561,0.43799,1.44744,3.12434,1.54696,0.00022,0.00022,0.00022
2,28.0931,1.08827,1.94958,1.45031,0.00333,1,0.74913,0.5011,1.15732,3.12379,1.398,0.000459089,0.000459089,0.000459089
3,34.8523,0.97262,1.46374,1.33307,0.05883,1,0.99076,0.75445,0.81561,2.73142,1.09995,0.000697228,0.000697228,0.000697228
4,41.661,1.02845,1.29105,1.29877,0.67045,0.98,0.7491,0.32803,1.21668,2.93846,1.35139,0.000934416,0.000934416,0.000934416
5,48.3319,0.94788,1.15795,1.24386,0.79626,0.92,0.956,0.72563,1.08213,2.51215,1.48104,0.00117065,0.00117065,0.00117065
6,54.9468,0.98381,1.13491,1.29437,0.99448,1,0.995,0.82394,0.82592,1.89605,1.12224,0.00140594,0.00140594,0.00140594
7,61.5616,0.97668,1.12509,1.28638,0.87548,0.56251,0.7881,0.55537,0.94169,1.87339,1.26378,0.00164028,0.00164028,0.00164028
8,68.1275,0.98763,1.11691,1.2595,0.49948,0.55886,0.47005,0.29837,1.42522,2.62654,1.58654,0.00187367,0.00187367,0.00187367
9,74.6521,1.00498,1.09329,1.28391,0.4377,0.48266,0.36725,0.15928,1.59319,3.3978,1.64352,0.00196832,0.00196832,0.00196832
10,81.1458,0.94272,0.97722,1.24827,0.61774,0.06,0.06823,0.03253,4.25363,3.68672,3.97416,0.00196436,0.00196436,0.00196436
11,87.7055,0.9658,0.96541,1.27511,0.00013,0.04,8e-05,1e-05,5.03363,3.51196,4.58415,0.0019604,0.0019604,0.0019604
12,94.2684,0.89703,0.89622,1.22509,0.83996,0.5,0.57459,0.1737,3.07758,2.14197,2.50843,0.00195644,0.00195644,0.00195644
13,100.876,0.88513,0.84326,1.19778,0.78471,0.43746,0.52982,0.33896,1.90791,1.88437,1.88308,0.00195248,0.00195248,0.00195248
14,107.408,0.87337,0.82757,1.20607,0.90061,0.88,0.94761,0.68121,1.10821,1.11635,1.28969,0.00194852,0.00194852,0.00194852
15,113.932,0.95806,0.84806,1.25913,0.94409,0.98,0.99195,0.82784,0.79476,0.80614,1.0285,0.00194456,0.00194456,0.00194456
16,120.463,0.84515,0.77099,1.2,0.96609,0.98,0.99184,0.73352,0.98459,0.96479,1.21243,0.0019406,0.0019406,0.0019406
17,127.006,0.89769,0.754,1.20522,0.87333,0.92,0.90375,0.23858,2.49733,2.01564,2.40636,0.00193664,0.00193664,0.00193664
18,133.546,0.85573,0.74239,1.21337,0.99465,1,0.995,0.753,1.20214,0.87062,1.43766,0.00193268,0.00193268,0.00193268
19,140.056,0.89077,0.71745,1.22165,0.99849,1,0.995,0.7422,1.14255,0.71185,1.29531,0.00192872,0.00192872,0.00192872
20,152.577,0.85652,0.73793,1.19367,0.90821,0.94,0.98245,0.78685,1.07568,1.04197,1.02819,0.00192476,0.00192476,0.00192476
21,159.106,0.8466,0.6809,1.1808,0.00031,0.08,0.00022,3e-05,4.6738,3.41604,4.0447,0.0019208,0.0019208,0.0019208
22,165.645,0.77904,0.64351,1.14788,0.94162,1,0.93939,0.51593,1.85143,1.12632,1.86914,0.00191684,0.00191684,0.00191684
23,172.173,0.79179,0.65815,1.18448,0.72063,0.82,0.82296,0.48022,1.1178,1.30956,1.17083,0.00191288,0.00191288,0.00191288
24,178.656,0.83386,0.67615,1.2032,0.14974,0.73966,0.13769,0.04091,3.07197,3.69098,2.55314,0.00190892,0.00190892,0.00190892
25,185.127,0.80354,0.66715,1.16703,0.40672,0.42,0.29039,0.12453,2.15963,2.3233,1.80552,0.00190496,0.00190496,0.00190496
26,191.616,0.80469,0.65709,1.16498,0.99654,0.96,0.99274,0.76739,0.98197,0.59222,1.07276,0.001901,0.001901,0.001901
27,198.093,0.79318,0.59456,1.15053,0.99861,1,0.995,0.87647,0.71134,0.4833,0.95277,0.00189704,0.00189704,0.00189704
28,204.595,0.81324,0.60625,1.15367,0.98014,0.98726,0.99422,0.70414,1.1695,0.56601,1.29775,0.00189308,0.00189308,0.00189308
29,211.095,0.84757,0.61092,1.17563,0.86304,0.96,0.9649,0.55771,1.6182,0.8286,1.72532,0.00188912,0.00188912,0.00188912
30,217.763,0.7735,0.58124,1.13502,0.90787,1,0.9861,0.57943,1.81713,1.00646,1.99919,0.00188516,0.00188516,0.00188516
31,224.402,0.79231,0.56897,1.14893,0.92003,0.94,0.98317,0.55303,1.70349,0.88568,1.79939,0.0018812,0.0018812,0.0018812
32,230.931,0.76676,0.53804,1.1344,0.99837,1,0.995,0.61665,1.55786,0.63399,1.63308,0.00187724,0.00187724,0.00187724
33,237.384,0.77062,0.56206,1.1555,0.99869,1,0.995,0.642,1.34879,0.52344,1.39867,0.00187328,0.00187328,0.00187328
